"","DomestiCAT_Aruba_501","DomestiCAT_Aruba_502","DomestiCAT_Aruba_503","DomestiCAT_Aruba_504","DomestiCAT_Aruba_505","DomestiCAT_Aruba_506","DomestiCAT_Aruba_507","DomestiCAT_Aruba_508","DomestiCAT_Aruba_509","DomestiCAT_Aruba_510","DomestiCAT_Aruba_511","DomestiCAT_Aruba_512","DomestiCAT_Aruba_513","DomestiCAT_Aruba_514","DomestiCAT_Aruba_515","DomestiCAT_Aruba_516","DomestiCAT_Brazil_501","DomestiCAT_Brazil_502","DomestiCAT_Brazil_503","DomestiCAT_Brazil_504","DomestiCAT_Brazil_505","DomestiCAT_Brazil_506","DomestiCAT_Brazil_507","DomestiCAT_Brazil_508","DomestiCAT_Brazil_509","DomestiCAT_Brazil_510","DomestiCAT_Brazil_511","DomestiCAT_Brazil_512","DomestiCAT_Brazil_513","DomestiCAT_Brazil_514","DomestiCAT_Brazil_515","DomestiCAT_Brazil_516","DomestiCAT_CaboVerde_501","DomestiCAT_CaboVerde_502","DomestiCAT_CaboVerde_503","DomestiCAT_CaboVerde_504","DomestiCAT_CaboVerde_505","DomestiCAT_CaboVerde_506","DomestiCAT_CaboVerde_507","DomestiCAT_CaboVerde_508","DomestiCAT_CaboVerde_509","DomestiCAT_CaboVerde_510","DomestiCAT_CaboVerde_511","DomestiCAT_CaboVerde_512","DomestiCAT_CaboVerde_513","DomestiCAT_CaboVerde_514","DomestiCAT_CaboVerde_515","DomestiCAT_Denmark_10","DomestiCAT_Denmark_11","DomestiCAT_Denmark_12","DomestiCAT_Denmark_13","DomestiCAT_Denmark_14","DomestiCAT_Denmark_15","DomestiCAT_Denmark_16","DomestiCAT_Denmark_1","DomestiCAT_Denmark_2","DomestiCAT_Denmark_3","DomestiCAT_Denmark_4","DomestiCAT_Denmark_5","DomestiCAT_Denmark_6","DomestiCAT_Denmark_7","DomestiCAT_Denmark_8","DomestiCAT_Denmark_9","DomestiCAT_Denmark_blank","DomestiCAT_Malaysia_501","DomestiCAT_Malaysia_502","DomestiCAT_Malaysia_503","DomestiCAT_Malaysia_504","DomestiCAT_Malaysia_505","DomestiCAT_Malaysia_506","DomestiCAT_Malaysia_507","DomestiCAT_Malaysia_508","DomestiCAT_Malaysia_509","DomestiCAT_Malaysia_510","DomestiCAT_Malaysia_511","DomestiCAT_Malaysia_512","DomestiCAT_Malaysia_513","DomestiCAT_Malaysia_514","DomestiCAT_Malaysia_515","DomestiCAT_Spain_501","DomestiCAT_Spain_502","DomestiCAT_Spain_503","DomestiCAT_Spain_504","DomestiCAT_Spain_505","DomestiCAT_Spain_506","DomestiCAT_Spain_507","DomestiCAT_Spain_508","DomestiCAT_Spain_509","DomestiCAT_Spain_510","DomestiCAT_Spain_511","DomestiCAT_Spain_512","DomestiCAT_Spain_514","DomestiCAT_Spain_515","DomestiCAT_Spain_516"
"bin_Brazil.165",0.00123055909556887,0.0197548182555742,0.0146066179367644,0.0203412036014923,0,0.0221058691367054,0.012179340761518,0.0084211353198849,0.0242966487335436,0.0448502156257086,0,0.0357039490074488,0.00339286472300696,0.00275851662518298,0.0112064995218929,0.00489383459488546,0.00161880287762599,0.0116000792471075,0.00752781404026664,0.00243772116059153,0.000234992610105484,0.0940502564586627,0.0229385725928517,0.00322588276124514,0.000853480316789441,0.00456322220640728,0.0121139971279379,0.0146745878861924,0.00154066971155886,0.00185237007035633,0.00204646643135615,0.0176596212158597,0,0.0109065892887569,0,0.0013517473036701,0.00439830373311656,0.0187460308785257,0.00486066202908955,0.00314508494643824,0.00132649915907814,0.00228899167738272,0.000723377788816215,0.00265562537525896,0.000799593689260305,0,0.00236597087667428,0.0892534626813789,0.000782328413015503,0.00177066798149612,0.00277360447187554,0.00202580523604752,0.000779979399100535,0.000333850818971667,0.0508967230786993,0.00803800367622795,0.0192514300141283,0.0232572517857715,0.0147149992160727,0.0074437894204334,0.0439255050269516,0.008543953110038,0.00908089822237621,0,0.00553744478123609,0.0135199595794455,0.0118951618817072,0.00648448689319933,0.00839470304588279,0.00855968535541667,0.00703271638681469,0.0139332578916286,0.00626060496482228,0.00500802784331092,0.0208333763244741,0.00368796422571649,0.00777467880297124,0.0219791740153413,0.011230554524131,0.00577691014041969,0.0298508716434352,0.00708643934995773,0.00539547768593251,0.00190383247262139,0.0166927115850355,0.0238718518321119,0.0581392647108352,0.00566130969974032,0.00597847366205158,0.00405306693091041,0.00174509049770112,0.00783144722314431,0.00161649137425181,0.0358696064254075
"bin_Brazil.166",0,0,0,0,0,0,0,0,0.000309482357111496,0,0,0,0,0,0,0,0.000700328244690837,0.000693185113944621,0.00225460797319505,0.00114469957554518,0,0.00233922604152746,0.000731862478468175,0.00561814507020135,0.00103281348987862,0.0192442937772862,0.000208055878734224,0.000925474518927158,0.000427708041004774,0.00286611094519896,0.00421952128342778,0.005554152781533,0,0,0,0,0,0,0.000259375276669485,0,0,0,0,0.00241259493942276,0,0,0,0.00144414594020967,0.000125170367410397,0,0,0,0.000432258133805347,0,0.000863077298781412,0.00466332422486173,0.00240793071696668,0.0183861571363834,0.00241719562690784,0.00865599349172073,0.000991775839429022,0.000704190183123396,0.000171481115636647,0,0,0.00296167398829953,0,0.00442789389712108,0,0,0,0,0,0,0,0,0.012056643270813,0.000391568139196773,0,0.000156233962716446,0.00082799377321403,0.000281472367797611,0,0.00010315258886371,0.000500328848382369,0.00146694351101498,0.000532155716503443,0.00241103796152074,0.0101738261194865,0.000122331843554745,0,0.000988721198696457,0,0.000732773057448136
"bin_Brazil.168",0,0,0,0.0352550679340292,0,0,0,0,0.00386547143451309,0,0,0.00837826638048533,0.00345743774411708,0.00404027631611645,0,0,0.00605077283596491,0,0.00027538942118466,0.0117334373911004,0.000388337510839096,0,0,0,0,7.32702541272015e-05,0,0,0,0,0.00560755618819503,0.00688161291391866,0.00359671347359313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150627147659882,0,0.00026070296985237,0,0,0,0,0,0,0,0,0.000991056157664752,0,0,0.000843340527731327,0.00104422664724314,0,0.00342095570867861,0,0.000819051919628758,0,0.0223392602553298,0.000359701079670733,0,0,0,0.00146647447473994,0.00037569687147865,0,0,0,0,0,0.00130712526467814,0,0,0,0.00847947382122066,0,0
"bin_Brazil.17",0.00053459812264934,0,0,0,0,0.00117016833289719,0,0,0,0,0,0,0,0,0,0,0.0017024075046261,0.00182537487319594,0.0110200581673661,0.0263939213145668,0,0.000143575556380097,0.00102185720401109,0.00257980155608478,0.0037111844886236,0.000720032281635026,0,0.0944647390799125,0.000124474443933667,0.0106468211225127,0.000122959669356721,0.000568450815947461,0,0,0,0,0,0,0.01623520971308,0.00315252091571914,0,0.00159323417789235,0,0,0.000328428611657245,0,0,9.8311082950371e-05,0,0.000138567615019692,0,0,0,0,4.9719063055073e-05,0,0,0.000130929084455002,0,0.000788814165002256,8.01006952990794e-05,0,0.000138137603730313,0,0.000598927267397475,0.022705015478412,0,0.00964325319268055,0.00245942138584326,0,0,0,0,0.000583732665964014,0.00450365976326511,0.00128113821226784,0.000559208179598026,0.00387491511951294,0,0.000508617145573088,0.000741126246444327,0,0,0,8.79848605148618e-05,0.00131729573906039,0.00461848905153582,0.00117169306149193,0.00163082345724766,0.000148697544007903,0,0.0101790388926538,0,0
"bin_Brazil.170",0,0,0,0,0,0.00108089179926737,0,0,0.000367900327516081,0,0,0,0,0,0,0,0,0.000175228397625794,0.00268274251242119,0,0,0,0,0.000334419725208505,0,0,0,0,0,0,0.00121403768048463,0.00815601945372971,0,0,0,0.00487778374909619,0,0,0.00199782103347015,0,0,0.000987065792859432,0.000321303395755522,0,0,0,0,0.000282418329967325,0,0,5.09285589559115e-05,0,0,0,0,0,0.000145066946437942,0.00465959668500667,0,0.000100320803045595,0,0.000341363246413182,9.20036489805171e-05,0,0,0,0,0,0.00102493359517906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429410423551938,5.28648718951605e-05,0,0,0,0.000132211026793181,0,0.00138578374817187,0.000471868257472394,0,0
"bin_Brazil.177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446905153412827,0,0.00379819166861353,0.00021405797412443,0,0,0.000130086830337857,0.00140166638047507,0.00152482596816765,0.00150841916622589,0,0.00293334950466093,0,0.00215712475801794,0.000106429647996582,0.000268808654040853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368645782467989,8.39929589073857e-05,0.000255903245547355,0.00441390169817966,0,0.000128627038817117,0,0,0,0,0,0.00329613490802075,0,0.00416489076413869,0,0,0,0,0,0,0,0,0.004129125474121,0.000651939867368924,0,0,0.00220042152844456,0,0,0,0.000112560961252625,0.000156926346046226,0.00039069109584946,0.00645441574424708,0.00236772743632039,0,0,0.000332149687946694,0,0.00387943888671868
"bin_Brazil.22",0,0,0,0,0,0,0,0,0.000754806403564066,0,0,0,0,0,0,0,0.000923438809086377,0.000444618406277655,0.000235868666522589,0.000482198505569052,0.409788424122961,0.0259674066959332,0.000223906293798559,0.000174482797688216,0.000161795741023246,0.000244441923988757,0.00010510702847026,0.000327651580067225,0.00020350096133778,0.000183630592773529,0.000138169210240452,0.000307023237125097,0,0.000256403571742319,0,0.000529152299350965,0,0,0,0.0102395007529516,0.00147931543793212,0,0,0.00271300323183981,0,0,0,0.000314417838040062,0.000141832662421023,0,0,0.000172039483398356,0.000207759091415409,5.53069934351134e-05,0.000173129001755077,8.12549327431361e-05,0.000240088248747921,0.00314856505317805,0,0.000894607586890201,0,0.001445506101926,0.00166405076346573,0,0,0,0,0,0,0,0,0,0,0.000152702137777052,0,0.00210896656453279,0,0.000222992291942673,0,0.000131351195241537,0,0.000175274834294645,0,0.00163009824771154,0.000188796765864325,0.000211752835926027,0.0002255773091891,0,0.000123752394548208,0.000591971807826811,0.000249746184392042,0.000223042012536649,9.88532339357256e-05,0.000362004831234599
"bin_Brazil.28",0.00587129217461407,0.0160978684390599,0,0,0,0,0.0219194759744104,0.00988606946796043,0.00103492388631985,0,0.0602257251839363,0,0.00346874358828523,0.00187075013540415,0.00819087097059623,0.086736442516077,0.0886166276307957,0.00541075045340744,0.000444817147162271,0.171142199265523,0,0.000234421654872844,0.000285007729874202,0.00305581445004768,0.000794652132271881,0.000918615537863446,0.000277641101180513,0.0209809513039276,0.000481942952539893,0.00148760295152782,0.000118326953747293,0.000141276074970045,0,0.00531898015716274,0,0.000727442531652287,0.0115277720605602,0,0.00103595913390239,0.0112940481480606,0.00399393249317747,0.00140959698546778,0,0.019461414493893,0.000475548188735597,0.000260920166193799,0.0182359595116693,0.000124646758556448,0.000200793926863022,0.00144718760037777,8.33841697158768e-05,0,8.99728840168461e-05,0,6.88707971844516e-05,0,0.000109205800468174,0.0006191951073017,0.00171165254179743,0.00302101255856971,0.00300891780056941,0,0.000551053581779014,0,0.010573634024164,0.0139674361712074,0.015094612063862,0.0146618969937995,0.000856613401332929,0.003751773203687,0.0226035860003807,0.106632243455107,0.0255644483854081,0.0223582162424777,0.011435304470543,0.0262122949741809,0.0133527428804794,0.00453191678101833,0.105780259405115,0.000193280634120615,0.000424879680710448,0.000209180384217364,0,0.00117710853487224,0.000856772406915439,0.00156842119539398,0.000726025402090073,0.00858942060851697,0.000770569366576423,0.00237292501306661,0.000159561870713753,0.000443635889558787,0,0.0042544557275182
"bin_Brazil.3",0,0,0,0,0,0,0,0,0.000680107522954691,0,0,0,0,0,0,0,0.00130696037747604,0.00658555645119183,0.0176775410235636,0.00360698074248264,0,0.00821942425409229,0.00159773942376825,0.00151566773391307,0.000509596128745098,0.000495849942714109,0.000105206229378607,0.000205240345762887,0.000285454137499279,0.000690432128818188,0.000126923991223324,0.00163235775128223,0,0,0,0,0,0.00768784862163902,0,0,0,0,0,0,0,0,0,0.00032327638693458,0.00063130082602951,0.000725590710532212,0.00109794316003849,0.000156614467340929,0.000766545583294747,0.000131420241595054,0.00324122860602823,0.00233868155550036,0.00442945990780776,0.0176142883967863,0.00310229639497665,0.00398831310710428,0.00505877473257134,0.00198672124364155,7.24037848434723e-05,0,0,0.00336848561496972,0,0,0,0,0,0.0028059758299588,0,0,0.00431902151840095,0,0.000411700700583261,0.000775640135046585,0,0.000553769078244384,0.000729128235305556,0.00215221640876394,0,0.000137375978625806,0.000158384436142073,0.00839226509322688,0.000171580990224497,0.00107443270157669,0.00266189483669117,0,0.000519833614937375,0.000196318102517086,0,0.000308785980318696
"bin_Brazil.32",0.00238021398046405,0,0,0,0,0,0,0,0.00154551472949285,0,0,0,0,0,0.0164732880890335,0,0,0.0104361258111995,0.000653960694844818,0.0442440706077897,0.0002403658500744,0.000900906520869725,0.000184914919806344,0.000299830007801174,0.000163690373217424,0.000273379709815311,0.000150642641368561,0.0191565591301941,0.000115009627560796,0.000168515984426027,0.000972005028615517,0.0266463263448136,0,0,0,0,0.0181276119874045,0,0.000263641016234316,0,0,0,0,0.00113062073539338,0.00204566209163119,0,0,0.00158227922423617,9.43258283476766e-05,0,0.000329880171127347,0.000117298812357467,8.55402392519293e-05,0,0.00268646618328195,0.000177607564514394,0.00110586759846337,0.00376186817984932,0.0120148599382852,0.000431983748684788,0.00413751692618671,0.00010874338797485,0.000714962959825056,0,0,0.00130011300661309,0,0,0,0,0,0,0,0.00026553096507611,0,0,0.00304534706461435,0.000369474183907267,0,0.000254357025317381,0.00186040855510456,0.000250004622348607,0.000227817861064332,0.000209282588113813,0.00639232166947716,0.00605597555510418,0.00113715631979029,0.000897176903085996,0.00398747173402576,0.000276795896524078,0.00097785147736083,0.0196223243247786,0.00016221139247461,0.000881837803861549
